SKU,Name,Description,Available_On,Discontinue_On,master_price,master_weight,shipping_category,meta_title,meta_description,old_product_id,old_product_url,products_stores,product_properties,taxons,images,variants,variant_sku,variant_price,variant_weight
NF-9861/ORG,Organic Bergamot Lemon Lime Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Bergamot Lemon Lime Cotton Candy Floss Sugar,Organic Bergamot Lemon Lime Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Bergamot Lemon Lime Flavor Cotton Candy Base online today.,144709,http://www.naturesflavors.com/organic-cotton-candy-sugar/144709-bergamot-lemon-lime-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/bergamot-lemon-lime-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-9861/ORG-10lb|NF-9861/ORG-25lb|NF-9861/ORG-100lb|NF-9861/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-9900/ORG,Organic Black Walnut Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Black Walnut Cotton Candy Floss Sugar,Organic Black Walnut Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Black Walnut Flavor Cotton Candy Base online today.,144712,http://www.naturesflavors.com/organic-cotton-candy-sugar/144712-black-walnut-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/black-walnut-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-9900/ORG-10lb|NF-9900/ORG-25lb|NF-9900/ORG-100lb|NF-9900/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-9903/ORG,Organic Blackberry Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Blackberry Cotton Candy Floss Sugar,Organic Blackberry Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Blackberry Flavor Cotton Candy Base online today.,144713,http://www.naturesflavors.com/organic-cotton-candy-sugar/144713-blackberry-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/blackberry-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-9903/ORG-10lb|NF-9903/ORG-25lb|NF-9903/ORG-100lb|NF-9903/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816145/ORG,Organic Bordeaux Cherry Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Bordeaux Cherry Cotton Candy Floss Sugar,Organic Bordeaux Cherry Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Bordeaux Cherry Flavor Cotton Candy Base online today.,144716,http://www.naturesflavors.com/organic-cotton-candy-sugar/144716-bordeaux-cherry-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/bordeaux-cherry-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816145/ORG-10lb|NF-60816145/ORG-25lb|NF-60816145/ORG-100lb|NF-60816145/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816146/ORG,Organic Boysenberry Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Boysenberry Cotton Candy Floss Sugar,Organic Boysenberry Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Boysenberry Flavor Cotton Candy Base online today.,144717,http://www.naturesflavors.com/organic-cotton-candy-sugar/144717-boysenberry-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/boysenberry-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816146/ORG-10lb|NF-60816146/ORG-25lb|NF-60816146/ORG-100lb|NF-60816146/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816019/ORG,Organic Burnt Sugar Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Burnt Sugar Cotton Candy Floss Sugar,Organic Burnt Sugar Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Burnt Sugar Flavor Cotton Candy Base online today.,144720,http://www.naturesflavors.com/organic-cotton-candy-sugar/144720-burnt-sugar-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/burnt-sugar-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816019/ORG-10lb|NF-60816019/ORG-25lb|NF-60816019/ORG-100lb|NF-60816019/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816149/ORG,Organic Butter Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Butter Cotton Candy Floss Sugar,Organic Butter Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Butter Flavor Cotton Candy Base online today.,144721,http://www.naturesflavors.com/organic-cotton-candy-sugar/144721-butter-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/butter-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816149/ORG-10lb|NF-60816149/ORG-25lb|NF-60816149/ORG-100lb|NF-60816149/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-9907/ORG,Organic Butterscotch Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Butterscotch Cotton Candy Floss Sugar,Organic Butterscotch Flavor Cotton Candy Base (Natural)  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Butterscotch Flavor Cotton Candy Base (Natural) online today.,144724,http://www.naturesflavors.com/organic-cotton-candy-sugar/144724-butterscotch-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/butterscotch-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-9907/ORG-10lb|NF-9907/ORG-25lb|NF-9907/ORG-100lb|NF-9907/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816021/ORG,Organic Cabernet Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cabernet Cotton Candy Floss Sugar,Organic Cabernet Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cabernet Flavor Cotton Candy Base online today.,144725,http://www.naturesflavors.com/organic-cotton-candy-sugar/144725-cabernet-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cabernet-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816021/ORG-10lb|NF-60816021/ORG-25lb|NF-60816021/ORG-100lb|NF-60816021/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816153/ORG,Organic Cappuccino Amaretto Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cappuccino Amaretto Cotton Candy Floss Sugar,Organic Cappuccino Amaretto Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cappuccino Amaretto Flavor Cotton Candy Base online today.,144728,http://www.naturesflavors.com/organic-cotton-candy-sugar/144728-cappuccino-amaretto-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cappuccino-amaretto-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816153/ORG-10lb|NF-60816153/ORG-25lb|NF-60816153/ORG-100lb|NF-60816153/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816154/ORG,Organic Cappuccino Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cappuccino Cotton Candy Floss Sugar,Organic Cappuccino Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cappuccino Flavor Cotton Candy Base online today.,144729,http://www.naturesflavors.com/organic-cotton-candy-sugar/144729-cappuccino-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cappuccino-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816154/ORG-10lb|NF-60816154/ORG-25lb|NF-60816154/ORG-100lb|NF-60816154/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816156/ORG,Organic Cardamom Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cardamom Cotton Candy Floss Sugar,Organic Cardamom Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cardamom Flavor Cotton Candy Base online today.,144732,http://www.naturesflavors.com/organic-cotton-candy-sugar/144732-cardamom-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cardamom-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816156/ORG-10lb|NF-60816156/ORG-25lb|NF-60816156/ORG-100lb|NF-60816156/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816157/ORG,Organic Cayenne Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cayenne Cotton Candy Floss Sugar,Organic Cayenne Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cayenne Flavor Cotton Candy Base online today.,144733,http://www.naturesflavors.com/organic-cotton-candy-sugar/144733-cayenne-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cayenne-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816157/ORG-10lb|NF-60816157/ORG-25lb|NF-60816157/ORG-100lb|NF-60816157/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816029/ORG,Organic Cheese Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cheese Cotton Candy Floss Sugar,Organic Cheese Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cheese Flavor Cotton Candy Base online today.,144736,http://www.naturesflavors.com/organic-cotton-candy-sugar/144736-cheese-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cheese-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816029/ORG-10lb|NF-60816029/ORG-25lb|NF-60816029/ORG-100lb|NF-60816029/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816159/ORG,Organic Cherry Cola Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cherry Cola Cotton Candy Floss Sugar,Organic Cherry Cola Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cherry Cola Flavor Cotton Candy Base online today.,144737,http://www.naturesflavors.com/organic-cotton-candy-sugar/144737-cherry-cola-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cherry-cola-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816159/ORG-10lb|NF-60816159/ORG-25lb|NF-60816159/ORG-100lb|NF-60816159/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816163/ORG,Organic Chocolate Fudge Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Chocolate Fudge Cotton Candy Floss Sugar,Organic Chocolate Fudge Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Chocolate Fudge Flavor Cotton Candy Base online today.,144742,http://www.naturesflavors.com/organic-cotton-candy-sugar/144742-chocolate-fudge-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/chocolate-fudge-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816163/ORG-10lb|NF-60816163/ORG-25lb|NF-60816163/ORG-100lb|NF-60816163/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816164/ORG,Organic Chocolate Malt Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Chocolate Malt Cotton Candy Floss Sugar,Organic Chocolate Malt Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Chocolate Malt Flavor Cotton Candy Base online today.,144743,http://www.naturesflavors.com/organic-cotton-candy-sugar/144743-chocolate-malt-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/chocolate-malt-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816164/ORG-10lb|NF-60816164/ORG-25lb|NF-60816164/ORG-100lb|NF-60816164/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-9817/ORG,Organic Cilantro Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cilantro Cotton Candy Floss Sugar,Organic Cilantro Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cilantro Flavor Cotton Candy Base online today.,144746,http://www.naturesflavors.com/organic-cotton-candy-sugar/144746-cilantro-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cilantro-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-9817/ORG-10lb|NF-9817/ORG-25lb|NF-9817/ORG-100lb|NF-9817/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816166/ORG,Organic Cinnamon (Super Hot!) Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cinnamon (Super Hot!) Cotton Candy Floss Sugar,Organic Cinnamon (Super Hot!) Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cinnamon (Super Hot!) Flavor Cotton Candy Base online today.,144747,http://www.naturesflavors.com/organic-cotton-candy-sugar/144747-cinnamon-super-hot-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cinnamon-super-hot-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816166/ORG-10lb|NF-60816166/ORG-25lb|NF-60816166/ORG-100lb|NF-60816166/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816037/ORG,Organic Cocoa Cream Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Cocoa Cream Cotton Candy Floss Sugar,Organic Cocoa Cream Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Cocoa Cream Flavor Cotton Candy Base online today.,144750,http://www.naturesflavors.com/organic-cotton-candy-sugar/144750-cocoa-cream-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/cocoa-cream-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816037/ORG-10lb|NF-60816037/ORG-25lb|NF-60816037/ORG-100lb|NF-60816037/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
NF-60816167/ORG,Organic Coconut Nutty Cotton Candy Floss Sugar,"<p>If you have any questions, please use our ""Ask a Question"" feature located at the bottom right of our product pages.</p>",01/06/2022,,155.39,,Default,Organic Coconut Nutty Cotton Candy Floss Sugar,Organic Coconut Nutty Flavor Cotton Candy Base  Natures Flavors  The finest organic and Natural ingredients. Buy Organic Coconut Nutty Flavor Cotton Candy Base online today.,144751,http://www.naturesflavors.com/organic-cotton-candy-sugar/144751-coconut-nutty-flavor-cotton-candy-base-organic.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Organic Cotton Candy Sugar:235|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/coconut-nutty-flavor-cotton-candy-base-organic.jpg,"Choose your option:10 lb.,25 lb.,100 lb.,1 lb.",NF-60816167/ORG-10lb|NF-60816167/ORG-25lb|NF-60816167/ORG-100lb|NF-60816167/ORG-1lb,155.39|380.22|1487.81|15.87,12.00|27.00|104.00|2.00
