SKU,Name,Description,Available_On,Discontinue_On,master_price,shipping_category,meta_title,meta_description,old_product_id,old_product_url,products_stores,product_properties,taxons,images,variants,variant_sku,variant_price,variant_weight
NF-8060/NAT/E,Grapefruit Flavor Emulsion for High Heat Applications,<p>Grapefruit Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Grapefruit Flavor Emulsion,Grapefruit Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Grapefruit Flavor Emulsion for High Heat Applications online today.,62289,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62289-grapefruit-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>TTB Approved Flavors:65,migration/images/products/grapefruit-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-8060/NAT/E-8oz|NF-8060/NAT/E-32oz|NF-8060/NAT/E-1gal|NF-8060/NAT/E-5gal|NF-8060/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-8061/NAT/E,Green Tea Flavor Emulsion for High Heat Applications,<p>Green Tea Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Green Tea Flavor Emulsion,Green Tea Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Green Tea Flavor Emulsion for High Heat Applications online today.,62290,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62290-green-tea-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/green-tea-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-8061/NAT/E-8oz|NF-8061/NAT/E-32oz|NF-8061/NAT/E-1gal|NF-8061/NAT/E-5gal|NF-8061/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-8062/NAT/E,Grenadine Flavor Emulsion for High Heat Applications,<p>Grenadine Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Grenadine Flavor Emulsion,Grenadine Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Grenadine Flavor Emulsion for High Heat Applications online today.,62291,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62291-grenadine-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/grenadine-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-8062/NAT/E-8oz|NF-8062/NAT/E-32oz|NF-8062/NAT/E-1gal|NF-8062/NAT/E-5gal|NF-8062/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-6248/NAT/E,Guava Flavor Emulsion for High Heat Applications,<p>Guava Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Guava Flavor Emulsion,Guava Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Guava Flavor Emulsion for High Heat Applications online today.,62292,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62292-guava-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/guava-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-6248/NAT/E-8oz|NF-6248/NAT/E-32oz|NF-6248/NAT/E-1gal|NF-6248/NAT/E-5gal|NF-6248/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-6356/NAT/E,Hazelnut Flavor Emulsion for High Heat Applications,<p>Hazelnut Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Hazelnut Flavor Emulsion,Hazelnut Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Hazelnut Flavor Emulsion for High Heat Applications online today.,62293,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62293-hazelnut-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/hazelnut-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-6356/NAT/E-8oz|NF-6356/NAT/E-32oz|NF-6356/NAT/E-1gal|NF-6356/NAT/E-5gal|NF-6356/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-8063/NAT/E,Hibiscus Flavor Emulsion for High Heat Applications,<p>Hibiscus Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Hibiscus Flavor Emulsion,Hibiscus Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Hibiscus Flavor Emulsion for High Heat Applications online today.,62294,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62294-hibiscus-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/hibiscus-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-8063/NAT/E-8oz|NF-8063/NAT/E-32oz|NF-8063/NAT/E-1gal|NF-8063/NAT/E-5gal|NF-8063/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-6261/NAT/E,Honey Flavor Emulsion for High Heat Applications,<p>Honey Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Honey Flavor Emulsion,Honey Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Honey Flavor Emulsion for High Heat Applications online today.,62295,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62295-honey-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/honey-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-6261/NAT/E-8oz|NF-6261/NAT/E-32oz|NF-6261/NAT/E-1gal|NF-6261/NAT/E-5gal|NF-6261/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-8064/NAT/E,Honeydew Melon Flavor Emulsion for High Heat Applications,<p>Honeydew Melon Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Honeydew Melon Flavor Emulsion,Honeydew Melon Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Honeydew Melon Flavor Emulsion for High Heat Applications online today.,62296,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62296-honeydew-melon-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/honeydew-melon-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-8064/NAT/E-8oz|NF-8064/NAT/E-32oz|NF-8064/NAT/E-1gal|NF-8064/NAT/E-5gal|NF-8064/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-7144/NAT/E,Irish Cream Flavor Emulsion for High Heat Applications,<p>Irish Cream Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Irish Cream Flavor Emulsion,Irish Cream Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Irish Cream Flavor Emulsion for High Heat Applications online today.,62297,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62297-irish-cream-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/irish-cream-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-7144/NAT/E-8oz|NF-7144/NAT/E-32oz|NF-7144/NAT/E-1gal|NF-7144/NAT/E-5gal|NF-7144/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-6254/NAT/E,Key Lime Flavor Emulsion for High Heat Applications,<p>Key Lime Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Key Lime Flavor Emulsion,Key Lime Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Key Lime Flavor Emulsion for High Heat Applications online today.,62298,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62298-key-lime-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/key-lime-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-6254/NAT/E-8oz|NF-6254/NAT/E-32oz|NF-6254/NAT/E-1gal|NF-6254/NAT/E-5gal|NF-6254/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
NF-8065/NAT/E,Kiwi Flavor Emulsion for High Heat Applications,<p>Kiwi Flavor Emulsion for High Heat Applications</p>,01/06/2022,,26.45,Default,Kiwi Flavor Emulsion,Kiwi Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Kiwi Flavor Emulsion for High Heat Applications online today.,62299,http://www.naturesflavors.com/natural-flavor-emulsions-heat-stable/62299-kiwi-flavor-emulsion.html,Nature's Flavors,"Ingredient Statement:Natural Emulsions Contain Water, Gum Acacia, Natural Flavors, and Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Natural Flavor Emulsions (Heat Stable):84|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/kiwi-flavor-emulsion.jpg,"Choose your option:8 oz.,32 oz.,1 gal.,5 gal.,2 oz.",NF-8065/NAT/E-8oz|NF-8065/NAT/E-32oz|NF-8065/NAT/E-1gal|NF-8065/NAT/E-5gal|NF-8065/NAT/E-2oz,26.45|52.90|158.70|760.44|15.80,2.00|3.00|10.00|60.00|0.38
