SKU,Name,Description,Available_On,Discontinue_On,master_price,master_weight,shipping_category,meta_title,meta_description,old_product_id,old_product_url,products_stores,product_properties,taxons,images,variants,variant_sku,variant_price,variant_weight
NF-8195/NAT,"Galbanum (Terpeneless) Essential Oil, Natural","<p>Latin Name: ferula galbaniflua General Description Galbanum has numerous purposes. It has been used in the treatment of <br /><br /> Skin<br /> conditions such as acne and inflammations; it aids in the healing of scar tissue and toning the <br /><br /> Skin<br /> . Galbanum is a natural aid for the body's circulation, muscles and joints, and the respiratory, <br /><br /> Digestive<br /> , and <br /><br /> Nervous System&lt;&gt;s, having been used for poor circulation, rheumatism, asthma, bronchitis, indigestion, stomach cramps, nervous tension and stress-related compliants. Galbanum was used by anchient civilizations as an incense. Egypt used it in cosmetics. Inhabitants of the East used Galbanum for treating wounds, <br /><br /> Skin<br /> disorders, and respiratory, <br /><br /> Digestive<br /> , and nervous compliants. How It's Made This oil is produced by water or steam distillation from the the oleoresin or gum. Two distinct types of Galbanum are Levant, which is soft or liquid, and Persian, which is hard or solid. The essential oil is made from Levant Galbanum. Properties <br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the <br /><br /> Skin<br /> . Galbanum, Terpeneless should not be used directly on the <br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,207.96,,Default,Natural Galbanum (Terpeneless) Essential Oil,Galbanum (Terpeneless) Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Galbanum (Terpeneless) Essential Oil online today.,67535,http://www.naturesflavors.com/natural-essential-oils/67535-galbanum-terpeneless-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/galbanum-terpeneless-essential-oil-natural.jpg,"Choose your option:2 oz.,0.25 oz.,0.5 oz.",NF-8195/NAT-2oz|NF-8195/NAT-025oz|NF-8195/NAT-05oz,207.96|29.42|55.87,0.38|1.00|0.31
NF-8199/NAT,"Parsley Seed Essential Oil, Natural","<p>Latin Name: petroselinum savitum umbelliferae General Description The parsley plant is very nutritious in vitamins A and C. It is also widely used as a herbal remedy to stimulate hair growth and suppress numerous ailments. The plant is native to the Mediterranean region, especially Greece but has been cultivated for so many centuries that it hardly can be found in its wild state any more. Cultivation for the purpose of producing seed for distillation is actually not very common. France, Germany, The Netherlands and Hungary are the largest Parsley Seed Oil producing countries in the world. Parsley seed oil is largely used as a food flavoring and also a fragrance ingredient. Parsley Folklore Parsley was used to flavor and garnish food as early as the third century B.C. The name ""parsley"" comes from the Greek word petros, meaning ""stone,"" because the plant was often found growing among rocks. In ancient times, wreaths were made with parsley and were worn to prevent intoxication. Parsley was brought to the New World by the colonists. How It's Made The steam distillation of the seed produces the oil. Properties Muscles Helps with Rheumatism Muscular Aches <br /><br /> Respiratory<br /> Helps with Bronchitis Helps with Coughs Remedy for Asthma <br /><br /> Nervous System&lt;&gt; Helps with Stress-Related Disorders Helps with Nervous Strain Immune System Battles Common Cold and Influenza <br /><br /> Digestive<br /> Reduces Nausea Helps with Diarrhea <br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the <br /><br /> Skin<br /> . Parsley Seed should not be used directly on the <br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,62.08,,Default,Natural Parsley Seed Essential Oil,Parsley Seed Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Parsley Seed Essential Oil online today.,67536,http://www.naturesflavors.com/natural-essential-oils/67536-parsley-seed-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/parsley-seed-essential-oil-natural.jpg,"Choose your option:2 oz.,0.25 oz.,0.5 oz.",NF-8199/NAT-2oz|NF-8199/NAT-025oz|NF-8199/NAT-05oz,62.08|12.88|21.57,0.38|1.00|0.31
NF-8201/NAT,"Pimento Berry Essential Oil, Natural","<p>Latin Name: pimento officinalis myrtaceae General Description Pimento Berry Oil is steam distilled from dried, crushed, fully grown, but unripe fruits of the West Indian tree, Pimenta Officinalis. Certain manufacturers insist on water distillation and and there is reason to believe that this type of distillation yields a superior quality of oil. The tree is a native of the West Indies and grows in the wild abundantly on many of the islands, particularly Jamaica. The oil of the berries is used by the food industry extensively in frozen foods for flavoring, while in perfumery it is used primarily to create men's fragrances. How It's Made The steam distillation of the green unripe berry produces Pimento oil. Properties Muscles Helps with Arthritis Helps with Rheumatism Helps with Muscle Cramps Helps with Fatigue <br /><br /> Respiratory<br /> Helps with Bronchitis Helps with Coughs Helps with Chills <br /><br /> Digestive<br /> Prevents Flatulence Helps Digestion Helps with Cramps Reduces Nausea <br /><br /> Nervous System&lt;&gt; Helps with Stress-Related Disorders Recommended for Nerve Spasms Helps with Anxiety and Depression Helps with Nervous Strain <br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the <br /><br /> Skin<br /> . Pimento Berry should not be used directly on the <br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,39.99,,Default,Natural Pimento Berry Essential Oil,Pimento Berry Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Pimento Berry Essential Oil online today.,67537,http://www.naturesflavors.com/natural-essential-oils/67537-pimento-berry-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/pimento-berry-essential-oil-natural.jpg,"Choose your option:2 oz.,0.25 oz.,0.5 oz.",NF-8201/NAT-2oz|NF-8201/NAT-025oz|NF-8201/NAT-05oz,39.99|8.18|13.68,0.38|1.00|0.31
NF-0001/NAT,"Birch Sweet Essential Oil, Natural",,01/06/2022,,66.13,,Default,Natural Birch Sweet Essential Oil,Birch Sweet Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Birch Sweet Essential Oil online today.,67538,http://www.naturesflavors.com/natural-essential-oils/67538-birch-sweet-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/birch-sweet-essential-oil-natural.jpg,"Choose your option:2 oz.,0.5 oz.",NF-0001/NAT-2oz|NF-0001/NAT-05oz,66.13|16.54,0.38|0.31
NF-3708/NAT,"Cornmint Essential Oil, Natural","<p>Latin Name: mentha arvensis General Description This oil is used much in the same way as peppermint oil. For relief of headaches caused by nervousness, the bruised leaves are applied to the forehead. The Chinese have expanded the use of this oil to include the treatment of ear aches as well as tumors and various <br /><br /> Skin<br /> conditions. How It's Made The oil is drawn from the herb and its flowers through steam distillation. When the oil comes out, it is often solid due to the high levels of menthol. Properties <br /><br /> Nervous System&lt;&gt; General Headaches Treats Ear Aches <br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the <br /><br /> Skin<br /> . Cornmint should not be used directly on the <br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,22.02,,Default,Natural Cornmint Essential Oil,Cornmint Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Cornmint Essential Oil online today.,67539,http://www.naturesflavors.com/natural-essential-oils/67539-cornmint-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/cornmint-essential-oil-natural.jpg,"Choose your option:2 oz.,0.5 oz.",NF-3708/NAT-2oz|NF-3708/NAT-05oz,22.02|8.13,0.38|0.31
NF-3784/NAT,"Anise (Terpeneless) Essential Oil (Natural Anethole), Natural","<p>Latin Name: pimpinella anisum General Description This herb has been used largely as a domestic spice. Native to Greece and Italy, Anise is now cultivated world wide but its main producers are India and China. The fruit of Pimpinella Anisum L. is steam-distilled, producing a volatile oil that provides the basis for its applications. Additionally, Anise has been used in a variety of smoking mixtures. The Turkish population have used the distinct licorice flavoring of the Anise herb to create a very popular alcoholic drink called raki. Anise Folklore Anise, one of the oldest cultivated spices was enjoyed by the early Egyptians, Greeks and Romans. In first century Rome, anise was a flavoring in mustaceus, a popular spice cake baked in bay leaves and eaten after a feast to prevent indigestion. Anise became so valued in England that its import was taxed. In 1305, the import tolls collected on anise seed helped pay for repairs to the London Bridge. How It's Made The seeds are placed in oil and the essential oil is extracted through steam distillation. Properties Muscles Helps with Rheumatism Muscular Aches Respiratory Helps with Bronchitis Helps with Coughs <br /><br /> Digestive<br /> Prevents Flatulence Helps Digestion Immune System Battles Common Cold and Influenza <br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the <br /><br /> Skin<br /> . Anise, Terpeneless should not be used directly on the <br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,13.6,,Default,Natural Anise (Terpeneless) Essential Oil (Natural Anethole),Anise (Terpeneless) Essential Oil (Natural Anethole)  Natures Flavors  The finest organic and Natural ingredients. Buy Anise (Terpeneless) Essential Oil (Natural Anethole) online today.,67540,http://www.naturesflavors.com/natural-essential-oils/67540-anise-terpeneless-essential-oil-natural-anethole-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/anise-terpeneless-essential-oil-natural-anethole-natural.jpg,"Choose your option:2 oz.,0.5 oz.",NF-3784/NAT-2oz|NF-3784/NAT-05oz,13.60|5.11,0.38|0.31
NF-3785/NAT,"Anise Essential Oil, Natural","<p>Latin Name: pimpinella anisum General Description This herb has been used largely as a domestic spice. Native to Greece and Italy, Anise is now cultivated world wide but its main producers are India and China. The fruit of Pimpinella Anisum L. is steam-distilled, producing a volatile oil that provides the basis for its applications. Additionally, Anise has been used in a variety of smoking mixtures. The Turkish population have used the distinct licorice flavoring of the Anise herb to create a very popular alcoholic drink called raki. Anise Folklore Anise, one of the oldest cultivated spices was enjoyed by the early Egyptians, Greeks and Romans. In first century Rome, anise was a flavoring in mustaceus, a popular spice cake baked in bay leaves and eaten after a feast to prevent indigestion. Anise became so valued in England that its import was taxed. In 1305, the import tolls collected on anise seed helped pay for repairs to the London Bridge. How It's Made The seeds are placed in oil and the essential oil is extracted through steam distillation. Properties Muscles Helps with Rheumatism Muscular Aches Respiratory Helps with Bronchitis Helps with Coughs <br /><br /> Digestive<br /> Prevents Flatulence Helps Digestion Immune System Battles Common Cold and Influenza <br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the <br /><br /> Skin<br /> . Anise should not be used directly on the <br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,13.89,,Default,Natural Anise Essential Oil,Anise Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Anise Essential Oil online today.,67541,http://www.naturesflavors.com/natural-essential-oils/67541-anise-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/anise-essential-oil-natural.jpg,"Choose your option:2 oz.,1 gal.,0.5 oz.",NF-3785/NAT-2oz|NF-3785/NAT-1gal|NF-3785/NAT-05oz,13.89|396.76|6.95,0.38|10.00|0.31
NF-3786/NAT,"Bay Essential Oil, Natural","<p>Latin Name: pimenta racemosa General Description West Indian Bay Tree is often grown in groves along with the allspice or pimento bush. Then the fruits of both are dried and powdered for the preparation of the household allspice. The Bay Tree provides the basic ingredient for a famous old hair tonic by distilling the leaves in rum. Emotionally it is said to stimulate and uplift, warming the emotions, reviving the emotionally exhausted. The oil is produced in Dominica and has a powerful, spicy, sweet aroma. While employed as a flavor ingredient in many foods, it is also used extensively in fragrance work, in aftershaves, detergents, perfumes, soaps and hair lotions, including Bay rum. Bay Leaf Folklore In Ancient Greece and Rome, bay leaves and branchlets were used as wreaths to crown their victors. Champions of the Olympic games wore garlands of bay leaves. Our word ""baccalaureate"" means ""laurel berries"" and signifies the successful completion of one's studies. It alludes to the bay wreaths worn by poets and scholars when they received academic honors in ancient Greece. How It's Made Bay Oil is steam or water distilled from the leaves. Properties Muscles Helps with Rheumatism Muscular Aches Immune System Fights Viral Infections Battles Common Cold and Influenza Circulation Lowers Blood Pressure <br /><br /> Skin<br /> Scalp Stimulant Hair Rinse for Dandruff, Grease, and Lifeless Hair Promotes Hair Growth <br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the <br /><br /> Skin<br /> . Bay should not be used directly on the <br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,21.47,,Default,Natural Bay Essential Oil,Bay Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Bay Essential Oil online today.,67542,http://www.naturesflavors.com/natural-essential-oils/67542-bay-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/bay-essential-oil-natural.jpg,"Choose your option:2 oz.,1 lb.,0.5 oz.",NF-3786/NAT-2oz|NF-3786/NAT-1lb|NF-3786/NAT-05oz,21.47|120.35|8.73,0.38|2.00|0.31
NF-3787/NAT,"Bergamot Essential Oil, Natural","<p>Latin Name: citrus bergamia General Description This oil is named after the city in Italy where it was first sold. For years, the Italians have used this oil to treat fever and worms. This oil is most commonly used for infections in the mouth,<br /><br /> Skin<br /> , respiratory and urinary tracts. Special Qualities of Bergamot Essential Oil Uplifting, refreshing and relaxing. Encourages cheerful emotions, ideal for depression. Its delicate, sweet aroma can also be used to freshen and uplift a room. How It's Made The essential oil is gained through steam distillation of the leaves and twigs. Properties<br /><br /> Digestive<br /> Prevents Flatulence<br /><br /> Nervous System&lt;&gt; Helps with Stress-Related Disorders Helps with Insomnia Helps with Mental Exhaustion Helps with Physical Exhaustion<br /><br /> Skin<br /> Reduces Acne Reduces Excessive Perspiration Reduces Grease on Hair and<br /><br /> Skin<br /> Tones<br /><br /> Skin<br /><br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the<br /><br /> Skin<br /> . Bergamot should not be used directly on the<br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,37.24,,Default,Natural Bergamot Essential Oil,Bergamot Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Bergamot Essential Oil online today.,67543,http://www.naturesflavors.com/natural-essential-oils/67543-bergamot-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/bergamot-essential-oil-natural.jpg,"Choose your option:2 oz.,1 lb.,0.5 oz.",NF-3787/NAT-2oz|NF-3787/NAT-1lb|NF-3787/NAT-05oz,37.24|211.60|12.60,0.38|2.00|0.31
NF-3788/NAT,"Birch Essential Oil, Natural","<p>Latin Name: betula alba General Description The birch tree comes from North America but migrated east to Europe and Asia. Its bark, leaves, and flowers have all been used to treat <br /><br /> Skin<br /> conditions such as acne and psoriasis. The oil from this tree has a similar wintergreen smell to it and can be used to create candy flavourings as well as soap fragrances. How It's Made Properties <br /><br /> Digestive<br /> Antibacterial Diuretic (Dissolves Kidney and Bladder Stones) <br /><br /> Safety Guidelines:<br /> This oil is non-toxic and will not irritate or sensitize the <br /><br /> Skin<br /> . Birch should not be used directly on the <br /><br /> Skin<br /> . The oil should first be mixed with a diluting or carrier oil.</p>",01/06/2022,,33.07,,Default,Natural Birch Essential Oil,Birch Essential Oil  Natures Flavors  The finest organic and Natural ingredients. Buy Birch Essential Oil online today.,67544,http://www.naturesflavors.com/natural-essential-oils/67544-birch-essential-oil-natural.html,Nature's Flavors,,PRODUCTS:-1>Fragrances:260>Essential Oils:264>Natural Essential Oils:164|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12|PRODUCTS:-1>Fragrances:260>Essential Oils:264>Organic Essential Oils:12,migration/images/products/birch-essential-oil-natural.jpg,"Choose your option:2 oz.,0.5 oz.",NF-3788/NAT-2oz|NF-3788/NAT-05oz,33.07|10.57,0.38|0.31
